content,content_type,Column3,Column4
cia渗透得好啊,pos,,
水军带热度罢了,pos,,
她不是当元也就不计较那么多了，问题是她的这层身份，她是敌人！,pos,,
这不叫反噬叫炒作,pos,,
学历越高，败类越多啊,pos,,
都是一些蹭热度的小公司,pos,,
一定要记住这个垃圾学校“四川大学”,pos,,
我家对面的龙凤呈祥包子集团有限公司董事长昨晚一起吃包子时悄悄和我说前天有个川大的简历让他给扔垃圾桶了。,pos,,
以后好多年都被贴上标签了:打⭕️聚集地。,pos,,
被中央点名批评过,pos,,
Zg什么都缺就是不缺人，通过少招一个大学的学生完全影响不到公司,pos,,
哈麻皮带学,pos,,
川大估计还有不少张薇这样的 只要有后台就能去川大保研 所以学校才一直包庇 怕查出更大的,pos,,
没用啊，你们省的省级单位还是点名要川大,pos,,
你猜那些大企业现在怎么想,pos,,
我宣布我家招保姆也拒绝川大毕业生,pos,,
对华西又没啥影响，川大也不在乎这点企业了。有必要为了一个人，弄低川大的声誉么,pos,,
本人在此宣布，不和🚢带学生开黑,pos,,
开香槟开香槟,pos,,
政府部门会约谈的:先撤掉公告，其它的再说，你看看给我们社会带来多大影响？！至于你招不招那是你私下的事，低调点。,pos,,
党员欺压网爆农民工，这在以前判个几年都不过分,pos,,
发的应该都是小企业，大企业不敢这么整，有点违法，但是人家可以明面不说暗地里不招，反正报大厂大企业的985 211名校学生挺多的不差这一个两个。,pos,,
这些大学没有一点担当，真让人看不起,pos,,
恶心的川大,pos,,
6,pos,,
敌人越打越多,pos,,
已经不是对张v处理的问题了，而是通过这个事件，大家发现了川大很多隐藏问题,pos,,
就算是蹭热度，那不也是和张某学的？怎么的xxn蹭的起，别的企业蹭一下就跳脚了？搞笑,pos,,
我都自罚三杯了，一群下里巴人居然还敢闹，放肆,pos,,
小心厕大删贴,pos,,
本质都是内耗，全都是打着“正义”的旗号搞自己的勾当,pos,,
不发声明也不耽误别的公司不要啊。和川带同等甚至差一点的高校毕业生，也可以直接漏掉川带。问就是我们经过综合评估，您不适合我们的岗位。哦你问那个比你差的高校毕业生啊，人家是学校差了一点，能力还是有的，况且他知道自己毕业的学校差，薪资要求比你低嘛如果用人单位真心不想用，借口有的是好吧。,pos,,
川大的党员恐怕该查查了,pos,,
闹麻了，一个顺从网蛆的蹭热度罢了，支持川带以强硬态度对抗,pos,,
马楼，前几年河南某大学“三口7肛”事件也是这样，部分公司蹭热度罢了，过年网上的马楼们全都忘了,pos,,
内部全是污水浑浊不堪了,pos,,
继续多些公司发声明,pos,,
雪崩时没有一片雪花是无辜的,pos,,
可喜可贺 再接再厉,pos,,
你选双一留，我选都不留，没啥毛病,pos,,
大企业不会发文的,pos,,
川大是不是没有校长？,pos,,
想不通张薇这种迟早要润的人，学校有什么好包庇的？,pos,,
这么个素质还是党员，免试保研，事后照旧没受影响，看到点东西了 只能说企业老总干的好！!,pos,,
律师古代叫啥，就知道这新闻不奇怪。,pos,,
不处理损害的是川大其他校友，川大的对位985有很多，不招川大人家会招其他学校，而且最主要她还是d员，和群众走到对立面还不处理，毫无大学风骨,pos,,
还有这种好事,pos,,
搅屎棍，牛,pos,,
泰酷辣,pos,,
遭网爆只能让外界觉得学生素质低下不收是对的,pos,,
打胎两年半的鸡哥出来救场了,pos,,
好多公司内部都说了不招大川毕业生，某些人还搁那秀优越感呢,pos,,
支持,pos,,
可以哦,pos,,
不收不是很正常？这和不收有犯罪史的人是一个道理,pos,,
继续爆吧，爆得越厉害企业越讨厌,pos,,
这不代表大公司就会招你们川大的，因为人家只需要内部通告一下即可,pos,,
川大以后改叫网曝大完了，开设网曝专业,pos,,
我认识一个川大历史学博士，人品问题很大,pos,,
暗拒肯定有的，谁也不想给自己惹麻烦,pos,,
川大发纸尿布的男生处分,pos,,
张薇这样网暴诋毁一个群体也是警告真有你的呢川大。,pos,,
目前有国企宣布不接受川大的学生吗,pos,,
不收是对的，素质可见一斑,pos,,
所以河南大学保研的问题他们都不管吗,pos,,
川大好似,pos,,
集结号吹起来 川大师生 每人一个键盘,pos,,
蹭热度的，怎么说川大也是正牌985，真符合川大的档次的大企业人家不招也不会发函的，甚至没准儿该来招聘都还接着来，毕竟大企业都是制度管理，不可能受一件事影响自己工作制度，但是负责招聘的hr是人，他受不受影响，带不带主观情绪就不好说了，特别是现在各大企业的追求干部年轻化，没准儿hr可能这会儿还在网上高强度对线呢,pos,,
不管这些企业是不是蹭热度，只要出现热搜，都会让川大更加深入人心,pos,,
川湘地区本身就是司法不公重灾区，原因是什么？就是当地人的观念,pos,,
好似,pos,,
大厂不会说的,pos,,
21年央视点评川大,pos,,
都是垃圾,pos,,
二留大学,pos,,
可以入职做👊🏻师捏,pos,,
公开宣布的可能在蹭热度，但真正的大公司可能内部声明就完了，发出来可以但没必要,pos,,
连学校都不面向正义的一面，真是耻辱,pos,,
应该先把公司里有有川大的开除，再发不招川大的，这样比较可信,pos,,
工农兄弟不可辱，国法党纪不可轻！不重罚无以抚慰良善，不重罚无以威严法纪，不重罚无以警示后来者！,pos,,
家人们，不要怕，我们可以考公，垃圾小公司不配,pos,,
说实话  川大公关是真辣鸡啊,pos,,
好死,pos,,
蹭热度罢了,pos,,
换个思路，以后川带想去哪里被拒绝就说对方搞歧视，把外服那套活学活用,pos,,
时间长了就会忘记的，不是什么大事,pos,,
就像小博主发的反日反韩的声明一样，也知道没什么用，就是表明一下态度。,pos,,
应该不招川大女生才对。男的犯事光速开除。,pos,,
小丑学校,pos,,
xxn,pos,,
这就是985的素质吗？,pos,,
教育部也不出来管管，好像跟他们不想干,pos,,
这个时候希望更多的小公司小企业一起蹭热度凑热闹，把事情搞大点,pos,,
这个张薇是不是跟校长有一腿啊？这么力保张薇。,pos,,
看来有很多同伙,pos,,
川大双一留,pos,,
好样的,pos,,
好似,pos,,
是四川女子大学 男生在里面可是要被歧视的,pos,,
蹭热度的恶心公司，川大其他学生有什么罪过吗？轮得到他这个小丑发文侮辱？,pos,,
倒了血霉,pos,,
那么多985211的毕业生，你川带又不是清华北大,pos,,
希望处死张薇,pos,,
一些想蹭热度的小公司蹭到了热度，给川大施加舆论压力，川大学生去网暴，情绪得到释放，广大网友得到了乐子，多赢！,pos,,
不招很正常，明面上真就是蹭热度了，女尊男卑的思想，正常企业都不喜欢招个小仙女吧，男的都自卑了，注定发展受影响,pos,,
一群跟川大半毛钱关系没有的网友整天担心川大的前途,pos,,
哈人,pos,,
你猜大企业是会按学生实力招还是按学生大学热门事件招,pos,,
不会有人觉得大公司不这么想吧，只是不能说出来而已，面试归面试，回去等通知吧,pos,,
制裁川大，企业都不入用才好,pos,,
🚢带的正常人才无辜，被xxn加不作为乱作为的ld搞成这样,pos,,
应该公布下川大校招的都是哪些企业，必须抵制他们,pos,,
川大不在乎，受损的是正常学生又不是川大领导。正常学生在川大领导眼里啥也不是。据说2021年就被批评过，还不是没改。,pos,,
张的事是小事，川大校风不正是大事,pos,,
星星之火，可以燎原。,pos,,
我同学在川大,pos,,
四川女校果然名不虚传,pos,,
支持,pos,,
众所周知，冰山露出水面的只是十分之一。,pos,,
说真的屁用没有，如果国企央企公检法发表这种声明，那才是大事,pos,,
张薇大美女，这里的大门永远向你敞开，等你开始接客了记得发个视频，我相信会有很多人捧场的,pos,,
连党籍都不开除，真可笑这学校党委处也是站在人民对立面是吧,pos,,
只能说这一代的学生风骨跟心气…想起当年那一批先进了惋惜啊,pos,,
虽然是搏流量的，不过这次处理确实辣鸡，真tm的性别一换一个天一个地,pos,,
一会厕所大战，一会偷拍，一会又诬陷别人偷拍,pos,,
大公司会暗地里不招川大生，像我们公司暗地里不招河南人一样,pos,,
只能说牵扯较广，要开的话，很多人的屁股都坐不稳了,pos,,
还有更多的是默默不招,pos,,
搬起石头砸自己的脚,pos,,
读了一年不到的研究生，而且大部分时间在外面，关川大屁事，纯尬黑,pos,,
小公司蹭下热度 大公司不缺人 看简历直接扔就行,pos,,
活该,pos,,
这人干啥了,pos,,
21年就点名批评了，有用吗,pos,,
那些赠热度的公司估计一个川大职工都没有，但是也反应了川大女校的问题,pos,,
川大的校领导太让大家失望了！是否有贪腐！当地教育局应该彻查！,pos,,
双一流:双人犯错，一人留下。,pos,,
没公开声明的～～可能内部也通传了不录用～～～,pos,,
若智行为 还有人管着这些企业,pos,,
是时候再拉一个丁真出来了,pos,,
打个比方就是有条狗在你们家门口撒尿，你能把它赶走一次但是以后会有越来越多狗来你们家门口撒尿你们没有任何办法阻止，不管怎么侮辱你们都没办法，因为你们家就是垃圾堆，大伙就是乐意看有狗来你们家撒尿,pos,,
记得几年前浙大也冷处理过不少事情，后面大家都忘了，川大这个最多一年网友就换目标了吧所以人家才敢冷处理,pos,,
话说，为什么一直找川大的事，不找河大把她毕业证取消,pos,,
感觉，看看今年录取情况怎么样就知道了,pos,,
我的大尾巴毛绒绒~毛绒绒~♪,pos,,
我家门严禁川大毕业生进入,pos,,
我觉得这件事真的炒作有点过了，不过有关部门是真的应该认真处理张薇栽赃陷害他人的行为，但社会上对这种事是真的反应过度了,pos,,
。,pos,,
企业不要川大的证明川大有多烂，差企业都不要，好企业如果收的话岂不是不如差企业的,pos,,
这下好了，四川耙耳朵居然被上海小男人都看不起,pos,,
几年前网上认识一个川大研究生，整六七个p友，还给一两个整堕胎了，反正当时给我开了眼了,pos,,
其实张w是诬陷并态度恶劣，实质上是道德和素质问题。留党察是除籍下最严重的处分，要记入档案的，考公职是过不了政审的。至于留校，不违法你不让她上学？大学里人品如她的大有人在。处置算妥当。以后就看互联网记忆了。至于偷拍违反治安法，是绝对要处理的。别只关注性别。,pos,,
我又来，我的牛杂档永不招录川大生,pos,,
川南真是🐢啊,pos,,
干得好,pos,,
蹭热度啊 本身211他们也招不到咯,pos,,
好样的,pos,,
以为留党察看这个惩罚有用的都过来看看,pos,,
我怎么感觉会像狼来了一样啊，下次女生真的遇到类似损害自己权益的事情估计也没多少人再相信了吧,pos,,
反噬个啥啊，这就是来蹭热度的,pos,,
加大力度捏,pos,,
川带好似,pos,,
快手账号已经注销了,pos,,
男的可以招，因为哪怕厕所被抢，被体育生打，被阿三哥打，都没有一句怨言，可以996开1000,pos,,
党籍都保留了，肯定有其他出路，这些小民营企业大可不必这么当真,pos,,
团结得很,pos,,
巡视组和央视点名批评,pos,,
搬石头砸自己的脚 活该,pos,,
老师学生蛇鼠一窝没得救了,pos,,
不应该让全校学生买单吧？请问能转校吗？,pos,,
好似 开香槟喽,pos,,
堵得住嘴堵不住心，虽然热度影响也就一两年，但也够川大难受了,pos,,
xxn现在无法无天了，还敢网暴,pos,,
全社会抵制川大，让他除名,pos,,
没啥用,pos,,
不得不感慨它张家，一个♀表能说动...呃...呸！是要挟企鹅替它擦屁股，谁知道这玩意儿能不能干出要挟党员的事儿来,pos,,
现在真不招收，只会在你应聘的时候悄悄把你弄掉，还提醒你，想屁吃,pos,,
这节奏来的 真搞不懂,pos,,
大公司不会发公告的，都是私下不招收，这种发公告的就是想吃点流量,pos,,
太典了，就这还985呢，一点脑子都没有，这事最好的处理方法就是低调点，等互联网记忆过去就好了，这人还去轰炸人家，真是嫌事不够大。,pos,,
可能张伟同学上下打点过了,pos,,
人家会说 我们是985 你们小垃圾公司算什么,pos,,
川大耻辱啊,pos,,
去看看2021年央视是如何怼着脸骂川大的，保证颠覆你的认知，能被官媒骂到如此地步的大学基本没有,pos,,
什么阿猫阿狗都来碰瓷川大。说得好像川大看得上它一样。,pos,,
简历尽管投，垃圾场里留,pos,,
麻烦，再怎么说也看着像是顺着自作自受的杆子往上爬的样子，和就业环境纠结在一起让问题更加复杂化了，虽然没有说这话的立场，不过还是希望事情尽早结束吧。,pos,,
处不处理都是一样的结果，这种人都能保研，可想川大质量如何,pos,,
感觉像是蹭热度,pos,,
好,pos,,
答案是屁事没有，学校质量在哪放着,pos,,
格局低了哈，应该拒绝所有姓张的和名薇的学生。,pos,,
明知一锅汤里有老鼠屎，却不去处理，肯定不会再有人去喝汤,pos,,
好好好，火别烧我身上,pos,,
难绷,pos,,
乐，跟打地图炮的二极管有啥区别。,pos,,
发生了什么,pos,,
野鸡大学,pos,,
三观不正，过街老鼠,pos,,
正常避险而已，谁也不愿意招定时炸弹，说到底不过是川大自己持续作死现在福报来了,pos,,
张薇坐地铁-人人自危,pos,,
川大发通告-自罚三杯,pos,,
川大领导处理的，网友骂别人川大学生,pos,,
川大这实力，会在乎俩听都没听过的蹭热度公司对自己的态度吗？,pos,,
有什么用？,pos,,
3,pos,,
一般要真不招的也不会明着说，筛简历的时候直接略过了,pos,,
这学校学风确实屎一样，遇到问题不勇于面对，用人企业因你们学风不良不用你们怎么了？你们学生都搞网爆那就不要怪社会上网民网爆你们,pos,,
劈腿副校长儿子所以保护,pos,,
我宣布我要拒绝库克的晚宴！,pos,,
支持,pos,,
好，再探再报,pos,,
小企业发声明蹭热度 大企业直接跟人事部打招呼说不招川大的,pos,,
不招女生就行了，男生还可以用用,pos,,
毁掉川大形象的是这些小企业吗,pos,,
矛盾还是升级了，有没有深层次的原因啊？,pos,,
学术妲己不也是川大的，这学校真nb，里面的女的都是卧龙凤雏,pos,,
传媒？不就是直播公司吗？,pos,,
坐等国内大厂表态,pos,,
不应该是用自己的能力和实力证明他不收是错误的吗？去网爆，去骂人这可真是。。。,pos,,
硬蹭吧,pos,,
我想起以前阿里那个被写小作文的新闻，这种大学出去的学生小作文率怕是有点高,pos,,
招个xxn去诬陷自家公司员工吗,pos,,
好噬，开香槟喽,pos,,
进了社团，社团保你,pos,,
这些企业也抵制一下浙大，强奸犯都不开除,pos,,
规避风险,pos,,
因为这学校除了教学生网暴辱骂别的也没啥特色啊,pos,,
张薇是哪个明星？,pos,,
大家都不想要个麻烦人物不说而已,pos,,
这事具体是啥。谁能跟我说说,pos,,
张小姐不是一般人,pos,,
能不能换个角度，能从川大毕业的男生才是优秀的,pos,,
苍蝇不叮无缝的蛋,pos,,
“穿”大 还不赶紧把你的贴吧注销？！,pos,,
这怕是蹭热度的吧,pos,,
网暴？那更不会收你了。,pos,,
无关大局事情,pos,,
敌人越是反对说明我们做的越对,pos,,
主打一个龟 校方冷处理后包庇 学生不说话  现在被各种小公司上嘴脸 也没有校友出来说话,pos,,
四川大学里面都是一群耙耳朵的，男的一个个都是👻男，真的是没一个带把的不然怎么不敢抗争，在学校里就可能不了，更别说出社会了，一群飞舞罢了,pos,,
川大不都是看不上别人公司吗 为什么还要去网爆,pos,,
那个川大哲学系的up都直接支持开除张，扩散到整个川大还是有点离谱,pos,,
到头来倒霉的还是学生啊,pos,,
留校观察真的不痛不痒，起码记过放档案阿。没办法，管他的 再怎么谴责都没办法了,pos,,
招进公司过两个月诬告老板，不给她，然后公司倒闭,pos,,
这律师所蹭流量，知法犯法,pos,,
好似，有意思的是党员犯错居然要资本家来出面，真TMD魔幻现实,pos,,
好,pos,,
做的好啊，头一次支持zb,pos,,
这对于川大其它人是不公平的，川大不可能每个人都这样吧,pos,,
蹭热度而已不足为惧，但是作为一个985，211被这样嘲讽，只能说活该。,pos,,
丢人,pos,,
说白了 小企业明着不招是蹭热度 大企业暗地里不招是怕给自己招黑 招进来被网上一曝光 得不偿失,pos,,
这些企业不过是一些哗众取宠蹭热度的小公司，他们配招985学生？,pos,,
不过对新生填志愿报名倒是会有不小影响。,pos,,
这个女的，坐牢都是有可能的，只是那个男的放过她了,pos,,
漂亮！如果当时这个校的师生联名都去主张开除张仙女公平公正处置她，让她受到该有的惩罚，估计这个学校就不会被反噬。,pos,,
我就说句公道话，1.张薇没去报到，不是川大人。2.双查看很严重，不是说察看期过了就没事了。3.河南大学纵容造假和协助推免问题更大。所以很多人是在用他朝的剑斩金朝的官啊。看清楚情况吧大家，这个人只是川大头衔，没去报到，川大已经给了处罚了。她本科那些问题是河南大学给审核通过的，大家更应该去河南大学那讨公道，凭什么这种人可以评优拿奖推免和入党，而不是一味逮着川大不放，毕竟这人都没来报到就惹了一身骚。,pos,,
很多人说川大审核不严，但凡知道的人都应该清楚川大只审核材料是否虚构，河南大学才是对材料质量审核负责的一方，谁盖章谁对材料负责这事不用再多说了吧，造假和推免审核通过，河南大学这盖了章的学校是干啥吃的？,pos,,
所以大家是不是搞错了什么事情？我非川大学生，也不是川大教职工，只是觉得这件事他冤。,pos,,
至于川大的其他事情不知道实情，那和这个事不是一回事暂不评论。,pos,,
说来奇怪，我们公司最近两年都是招的武大，南大，东南，港大之类，包括国外的慕尼黑大学，新加坡国立之类都有，偏偏就是没有川大,pos,,
挨打要立正,pos,,
绝大部分是谁也看不上的老破小公司，纯粹蹭流量的,pos,,
就喜欢看川大学生急的样子,pos,,
川大的男生是真倒霉,pos,,
华偷🎧也不知道咋样了,pos,,
蹭热度,pos,,
四川男人每种么,pos,,
我寻思这招聘或是不招聘应该大部分都不会直说吧,pos,,
川大改名xxn乐园了,pos,,
只是这一件事其实处理的没啥问题，没有针对本科和保研作出回应才是大家喷的关键。,pos,,
3,pos,,
唉，教授自杀是你们，诬陷民工是你们，百年川大,pos,,
🚢带是这样的,pos,,
国企也不要我， 我说我高中毕业,pos,,
说是咎由自取 好不为过,pos,,
让开让开，过一过,pos,,
网暴没意义,pos,,
川大后台硬，联合国拿他都没办法你说呢？,pos,,
前两年，四川某些学校 老师和教授跳楼的多,pos,,
我家保姆以后也不招川大的,pos,,
垃圾川大，板上钉钉了,pos,,
蹭热度的罢了,pos,,
正义是要争取的,pos,,
不愧是川大,pos,,
我提议，杀死xxn。让xxn身败名裂,pos,,
问题不大，明年谁还记得这事,pos,,
都别报川大，让我上,pos,,
蹭热度的,pos,,
我们公司也不招川大的，但是不会发文通知，就是人事内部口头通知而已,pos,,
我觉得这些企业抵制川大不痛不痒啊，人家毕业生也没几个来你们这的。。也就造造势了，网上闹麻了人家该找什么工作还不是接着找,pos,,
一颗老鼠屎毁了一锅粥，建议直接编入校训,pos,,
都是小公司哗众取宠，事实上川大毕业的人压根也瞧不上这些小公司,pos,,
这些人可千万别进去司法机关,pos,,
你是不是想偷招我？,pos,,
这个女人干啥了啊？,pos,,
看看央视怎么说川大吧,pos,,
以前互联网没那么发达，现在不行了，分分钟把你裤衩子撕烂,pos,,
蹭热度罢了,pos,,
我建议中国所有学校，全部分为男女校，千万不要再混合了,pos,,
不说世界五百强吧，中国五百强都没出来表态，一群阿猫阿狗都算不上的玩意儿就出来疯狂蹭热度,pos,,
我们四川是这样的,pos,,
8666,pos,,
俺们村口桌球店也宣布不招美国学生,pos,,
川大狗真多,pos,,
大公司肯定不会发这种通告，但是内部肯定会客观上歧视🚢大了，口头上跟人力说一句不收🚢大的，人有的是理由不收你,pos,,
拒招成本很低，并有太多其它选择，如果是只有几个选择，其中有川大，再看他招不招。,pos,,
这是小公司而已,pos,,
高考生选志愿想平替的可以来电科喵，来重大喵，谢谢喵🥳,pos,,
死窜贵男篝榨z一大堆真是死窜的败类，羞与为伍,pos,,
这是不是政治正确啊，,pos,,
社会不肯包容这个女生的原因不仅仅是因为她一向这么坏，而是因为她这么坏还有领导包庇她，这背后的原因才能群众不能容忍的,pos,,
女的和学校领导关系很好,pos,,
985不缺就业,pos,,
川大：你这耙耳朵还想上天？出了四川不好使了？给我狠狠的网爆,pos,,
伤害不大，侮辱性极强,pos,,
反正最后还不是比中专普大过得好 操这心,pos,,
哈哈哈，这个女的可以，而且川大现在处罚真的轻,pos,,
拒绝人渣，人人有责,pos,,
逆天民粹,pos,,
张v一定是因为口技非常好才被死保了吧,pos,,
我家小卖部也表示不会录用川大学生,pos,,
中国985又不少 大企业不差一个川大的 小企业川大的也看不上 无所谓的。鉴定为搞耍,pos,,
你们学生成班的去校长室书记室反馈，张薇给你们带来了反面影响,pos,,
人心向背，是这个意思吗？,pos,,
6,pos,,
还好当年没报,pos,,
川大，哦，你们是张薇那个学校，那学校领导作风不良,pos,,
都是什么垃圾企业不招川大,pos,,
这妞兵法玩的很六，一般小老百姓根本玩不过她，,pos,,
川大真以为自己全国第一没人敢拒绝吗，同级别的浙大武大山大厦大，高一级的清华北大复旦，缺你川大吗,pos,,
没啥用吧感觉,pos,,
这届网友真好带,pos,,
不关心,pos,,
一两个出来蹭热度的小丑罢了，怎么没见把古往今来所有出过事的学校都禁了,pos,,
野鸡大学,pos,,
央企它敢不招吗？,pos,,
川大今年招生估计也会受影响，川大怎么想的，这样一个女人也能留？简直冒天下之大不韪,pos,,
时间会冲淡一切,pos,,
川大不止张薇，学术妲己也是这么处理的，现在处理结果都没有,pos,,
所以应该好好处理，给大家一个满意的结果，也别连累其他川大学子,pos,,
说句实在话，我也不敢招聘，来了公司今天一个职场性骚扰明天一个职场性骚扰，后天一个职场性骚扰，公司还开不开了？这是来了个员工还是爹，而且有发到网上的前科，直接公司有可能有倒闭的风险，不招收是让你别投简历，单位公司可以不去你学校招聘，让你投简历也让你面试就是不通过，让你白跑不也是一样,pos,,
一个男性连厕所都守护不住的小丑学校 再加上包庇造谣女 人家企业不想要也很正常啊,pos,,
6,pos,,
厕大,pos,,
🚤带我要狠狠地抵制，但是如果V我一张录取通知书我就当什么事都没有😋。,pos,,
真好,pos,,
你不去我不去，川大还能降分，报的人多了，毕竟双一流大学，这事整改好了就行！大公司招就行，小公司完全蹭热度。关键看川大自己整改吧,pos,,
四川大学为了包庇犯罪分子，遗臭万年了,pos,,
归无学校,pos,,
不管真实内心，起码表个态，值得表扬和推广,pos,,
川大这次的做法我觉得很爷们,pos,,
不排除蹭热度 不过都是🚢大自己做的，毕竟双一留,pos,,
唉，内耗吧，美国佬依旧能招清华才子,pos,,
这么看来最亏的是川大男啊,pos,,
垃圾川大,pos,,
什么什么传媒，凑热度的东西，要是什么科技公司，什么什么建设公司我还信,pos,,
其实川大还是吃香，没啥真抵制的，至少我们部门川大研究生工资那比我高，虽然确实他也是啥都不行,pos,,
川大生直接只有高中学历,pos,,
别读综合性大学了 还是工科院好 女的少躺枪概率低些,pos,,
这企业要被关停整改，谁给他的胆子对教育部的学校说不的？他是什么东西？,pos,,
这就是蹭热度。,pos,,
诬陷，污蔑，不是犯罪么？,pos,,
这事虽然取得卡当事人的谅解，但是川大这样处罚还是轻了，如果当事人不谅解张薇100%要蹲监狱的，你看那时候还是这个处理方式吗，d籍肯定要开的，学籍估计要开了，再留校察看,pos,,
之前毕业的时候校园招聘，我们市的单位在川大老小区开招聘会，我由于不太熟悉路，从别的门进的，特别远，在川大校园里找学生问路，那个校区都是硕博士，我问了好几个学生，没有一个人告诉我，而且态度恶劣，之后我看见几个送快递、外卖的也问学生路，学生态度更是恶劣，觉得自己高高在上，瞧不起人家，川大学生就是不该录用,pos,,
出些什么事都能保研的能胜任什么？,pos,,
虽然好似，但是正常学生是无辜的啊,pos,,
蹭热度,pos,,
给我狠狠地反噬,pos,,
好好好,pos,,
不是你不招，是川大根本就不去。我开个早餐店我也可以说我不招清华的学生。,pos,,
好似,pos,,
因为整个四川男人都被精神阉割了捏,pos,,
